Neighborhoods,MSE,x,y,Avg_Familysize,Avg_ENG,Avg_School,Avg_Income
sunset-park,0.000713,-73.982874,40.641335,3.86440000,3256.00000000,69.92000000,0.70621440
flushing,0.000223,-73.816388,40.759428,3.38333333,3476.37500000,39.20833333,0.59395357
murray-hill-queens,0.000019,-73.809704,40.765388,3.27222222,3796.11111111,53.51851852,0.56315604
auburndale,0.000046,-73.793601,40.762344,3.27222222,3796.11111111,53.51851852,0.56315604
parkchester,0.000021,-73.860172,40.836161,3.28500000,3610.50000000,51.83333333,0.68349372
brookville,0.014963,-73.701526,40.735588,2.77500000,2653.00000000,33.00000000,0.69696970
crown-heights,7.365393,-71.239494,40.615179,2.77500000,2653.00000000,33.00000000,0.69696970
jackson-heights,0.000032,-73.880754,40.753188,3.54724138,5153.10344828,65.48275862,0.62420342
soundview,0.000055,-73.870062,40.825616,3.38733333,3997.20000000,76.86666667,0.78035665
noho,0.000003,-73.993082,40.727001,2.55681818,4857.04545455,48.81818182,0.38841106
greenwich-village,0.000021,-73.999272,40.730983,2.55681818,4857.04545455,48.81818182,0.38841106
soho,0.000051,-73.996143,40.728495,2.55681818,4857.04545455,48.81818182,0.38841106
west-village,0.012964,-74.100378,40.796129,2.55681818,4857.04545455,48.81818182,0.38841106
wakefield,0.000040,-73.847223,40.893535,3.36230769,3465.69230769,67.69230769,0.56424288
woodlawn,0.000452,-73.846772,40.899922,3.36230769,3465.69230769,67.69230769,0.56424288
bayside,0.000094,-73.773398,40.764554,3.17363636,3139.95454545,51.36363636,0.44325635
hillcrest,0.000031,-73.795040,40.730502,3.43062500,2882.43750000,38.68750000,0.45403891
kingsbridge,0.000035,-73.900839,40.879351,3.26142857,4715.14285714,79.21428571,0.69479974
kingsbridge-heights,0.000045,-73.902428,40.874941,3.26142857,4715.14285714,79.21428571,0.69479974
co-op-city,0.000123,-73.836101,40.876183,3.27857143,4779.28571429,86.00000000,0.57945931
hells-kitchen-clinton,0.000037,-73.995939,40.758183,2.64125000,4273.18750000,27.68750000,0.51695667
sheepshead-bay,0.000309,-73.965862,40.592157,3.38354839,2800.35483871,45.09677419,0.65252653
castle-hill,0.000073,-73.845202,40.827575,3.29500000,3356.41666667,60.25000000,0.67940988
fort-greene,0.000029,-73.971416,40.685847,3.05200000,2748.73333333,46.20000000,0.58543780
bushwick,0.000053,-73.922524,40.700597,3.69392857,3397.17857143,75.53571429,0.80870969
college-point,0.000007,-73.843042,40.784183,3.30750000,3725.12500000,63.12500000,0.50692363
great-kills,0.000402,-74.130659,40.551839,0.00000000,0.00000000,0.00000000,0.00000000
rego-park,0.000026,-73.861264,40.727420,3.12000000,3655.58823529,49.58823529,0.56526764
nomad,0.000001,-73.985533,40.744980,2.50071429,3898.50000000,25.53571429,0.44943751
garment-district,0.000009,-73.989917,40.753820,2.50071429,3898.50000000,25.53571429,0.44943751
midtown,0.000016,-73.985310,40.758172,2.50071429,3898.50000000,25.53571429,0.44943751
times-square-theater-district,0.000034,-73.988620,40.753778,2.50071429,3898.50000000,25.53571429,0.44943751
midtown-south,0.000065,-73.988548,40.745235,2.50071429,3898.50000000,25.53571429,0.44943751
tudor-city,0.000001,-73.972122,40.749478,2.39000000,4988.92307692,34.84615385,0.36263939
sutton-place,0.000005,-73.963026,40.758666,2.39000000,4988.92307692,34.84615385,0.36263939
roosevelt-island,0.000000,-73.950433,40.761586,2.54000000,8658.46153846,121.69230769,0.33134898
lenox-hill,0.000095,-73.952820,40.771197,2.54000000,8658.46153846,121.69230769,0.33134898
bay-terrace,0.000040,-73.776245,40.779779,3.04500000,4143.50000000,82.66666667,0.45016729
st-albans,0.000034,-73.763478,40.695238,3.50190476,2104.50000000,42.78571429,0.51594148
hollis,0.000356,-73.770742,40.705724,3.50190476,2104.50000000,42.78571429,0.51594148
arverne,0.010009,-73.829378,40.687716,3.69540541,2539.32432432,37.70270270,0.60102941
bedford-park,0.000009,-73.886031,40.871552,3.42083333,5345.00000000,82.58333333,0.76582560
east-elmhurst,0.000944,-73.852926,40.745371,3.84000000,4331.66666667,56.28571429,0.65436248
clason-point,0.000018,-73.856911,40.813940,3.40687500,3451.68750000,73.00000000,0.74630698
union-square,0.000003,-73.990062,40.735549,2.59275862,4388.10344828,40.34482759,0.42352137
flatiron,0.000005,-73.989292,40.740470,2.59275862,4388.10344828,40.34482759,0.42352137
meatpacking-district,0.000010,-74.004740,40.740724,2.59275862,4388.10344828,40.34482759,0.42352137
chelsea,0.000014,-73.999970,40.747591,2.59275862,4388.10344828,40.34482759,0.42352137
midtown-east,0.001159,-74.002373,40.744230,2.59275862,4388.10344828,40.34482759,0.42352137
sugar-hill,0.000010,-73.945893,40.826591,3.44125000,6411.50000000,80.12500000,0.79927915
high-bridge,0.000028,-73.919938,40.839761,3.52888889,5240.22222222,112.33333333,0.86886382
morris-heights,0.000767,-73.926185,40.837134,3.52888889,5240.22222222,112.33333333,0.86886382
concourse,0.000022,-73.922982,40.828648,3.47900000,5657.80000000,106.30000000,0.85855133
sunnyside,0.000104,-73.913510,40.748136,3.26791667,2888.62500000,37.87500000,0.64847882
richmond-hill,0.000141,-73.824261,40.686623,3.73950000,2683.85000000,46.07500000,0.54760088
ozone-park,0.000175,-73.837033,40.680254,3.73950000,2683.85000000,46.07500000,0.54760088
williamsburg,0.000123,-73.960488,40.719024,3.58615385,3651.23076923,84.76923077,0.74788647
bed-stuy,0.001377,-73.949633,40.721768,3.58615385,3651.23076923,84.76923077,0.74788647
morris-park,0.000011,-73.855690,40.850397,3.19625000,2662.33333333,45.25000000,0.63898314
oakland-gardens,0.000060,-73.760897,40.746897,3.12800000,3391.00000000,47.90000000,0.53841508
jamaica-estates,0.000050,-73.780035,40.716962,3.59166667,3301.16666667,53.12500000,0.49378443
fresh-meadows,0.000258,-73.779001,40.725513,3.59166667,3301.16666667,53.12500000,0.49378443
alphabet-city,0.000000,-73.979321,40.724801,3.12153846,6998.15384615,93.92307692,0.68441093
lower-east-side,0.000018,-73.986225,40.717087,3.12153846,6998.15384615,93.92307692,0.68441093
columbia-street-waterfront-district,0.000002,-74.002569,40.685614,2.98000000,3026.41176471,56.82352941,0.53146994
cobble-hill,0.000004,-73.996510,40.685912,2.98000000,3026.41176471,56.82352941,0.53146994
red-hook,0.000036,-74.004445,40.677433,2.98000000,3026.41176471,56.82352941,0.53146994
carroll-gardens,0.002331,-74.043176,40.664759,2.98000000,3026.41176471,56.82352941,0.53146994
riverdale,0.000280,-73.904833,40.911085,2.81625000,3125.50000000,48.37500000,0.49503596
allerton,0.133793,-74.034123,41.188642,2.81625000,3125.50000000,48.37500000,0.49503596
flatbush,10.048694,-74.092096,43.810955,2.81625000,3125.50000000,48.37500000,0.49503596
hunts-point,0.000012,-73.883361,40.811257,3.51181818,3534.27272727,76.81818182,0.84209022
morrisania,0.000480,-73.892129,40.821042,3.51181818,3534.27272727,76.81818182,0.84209022
dyker-heights,0.000030,-74.013848,40.619793,3.30448276,2317.58620690,32.86206897,0.60890799
brooklyn-heights,0.000196,-73.996439,40.709269,3.23545455,6406.63636364,75.36363636,0.69775899
middle-village,0.000070,-73.875063,40.712665,3.09629630,2333.85185185,29.51851852,0.52373168
prospect-heights,0.000010,-73.965869,40.677511,3.09000000,3287.26666667,68.66666667,0.56070256
williamsbridge,0.012625,-73.967026,40.694780,3.31391304,2898.47826087,57.17391304,0.68937406
prospect-park-south,0.000011,-73.963655,40.647339,3.59900000,3635.72500000,73.22500000,0.64357117
ditmas-park,0.000032,-73.967628,40.642863,3.59900000,3635.72500000,73.22500000,0.64357117
throgs-neck,0.000039,-73.815677,40.819829,3.14285714,2815.85714286,48.35714286,0.53827202
beechhurst,0.000011,-73.804173,40.790553,3.16928571,3732.71428571,73.00000000,0.47308930
whitestone,0.000050,-73.814415,40.783453,3.16928571,3732.71428571,73.00000000,0.47308930
gowanus,0.000006,-73.990944,40.674778,3.12064516,3283.35483871,56.54838710,0.53183194
park-slope,0.000007,-73.980943,40.671162,3.12064516,3283.35483871,56.54838710,0.53183194
dumbo,0.000563,-73.983449,40.679407,3.12064516,3283.35483871,56.54838710,0.53183194
borough-park,0.001549,-73.993824,40.670626,3.12064516,3283.35483871,56.54838710,0.53183194
kew-gardens-hills,0.000189,-73.820897,40.721785,3.41833333,3144.00000000,45.50000000,0.49097959
forest-hills,0.000035,-73.848417,40.717991,3.00473684,2990.00000000,34.21052632,0.52697886
jamaica-hills,0.001756,-73.835719,40.720457,3.00473684,2990.00000000,34.21052632,0.52697886
civic-center,0.000002,-74.004886,40.713764,2.84312500,4681.68750000,47.31250000,0.47380071
tribeca,0.000003,-74.008006,40.719287,2.84312500,4681.68750000,47.31250000,0.47380071
nolita,0.000003,-73.994684,40.721282,2.84312500,4681.68750000,47.31250000,0.47380071
hudson-square,0.000005,-74.006783,40.727920,2.84312500,4681.68750000,47.31250000,0.47380071
little-italy,0.000009,-73.996810,40.718492,2.84312500,4681.68750000,47.31250000,0.47380071
south-street-seaport,0.000002,-74.003475,40.707815,2.70909091,3028.18181818,34.36363636,0.43012148
financial-district,0.000004,-74.010881,40.707480,2.70909091,3028.18181818,34.36363636,0.43012148
battery-park-city,0.000013,-74.016145,40.713247,2.70909091,3028.18181818,34.36363636,0.43012148
kew-gardens,0.000057,-73.833846,40.712722,3.35214286,2928.57142857,42.42857143,0.57946036
elmhurst,0.000270,-73.895299,40.741203,3.40434783,4301.91304348,54.73913043,0.63758891
long-island-city,0.005598,-73.868943,40.756292,3.99904762,4020.09523810,48.09523810,0.64741838
bath-beach,0.000066,-74.007326,40.609616,3.18863636,2626.54545455,32.63636364,0.62443499
broad-channel,0.000005,-73.819768,40.604642,3.04666667,3120.66666667,74.00000000,0.36123952
belle-harbor,0.000012,-73.849044,40.576180,3.04666667,3120.66666667,74.00000000,0.36123952
neponsit,0.000013,-73.863824,40.571402,3.04666667,3120.66666667,74.00000000,0.36123952
breezy-point,0.000039,-73.927306,40.553703,3.04666667,3120.66666667,74.00000000,0.36123952
rockaway-park,0.000095,-73.829321,40.582610,3.04666667,3120.66666667,74.00000000,0.36123952
rockaway-beach,0.000245,-73.822172,40.585586,3.04666667,3120.66666667,74.00000000,0.36123952
randall-manor,0.073198,-73.892768,40.469714,3.04666667,3120.66666667,74.00000000,0.36123952
bay-terrace-staten-island,0.000034,-74.135106,40.552501,3.24666667,4167.66666667,97.66666667,0.30166502
ridgewood,0.000068,-73.900732,40.709799,3.39815789,3006.28947368,46.55263158,0.68556928
maspeth,0.000066,-73.902407,40.726845,3.19761905,2502.23809524,26.04761905,0.58374188
gerritsen-beach,0.000026,-73.929343,40.594656,3.14250000,2904.46428571,36.07142857,0.58658334
manhattan-beach,0.000174,-73.949971,40.580941,3.14250000,2904.46428571,36.07142857,0.58658334
boerum-hill,0.000011,-73.987772,40.686280,2.91611111,3029.44444444,52.66666667,0.50810196
vinegar-hill,0.000024,-73.985730,40.699967,2.91611111,3029.44444444,52.66666667,0.50810196
far-rockaway,0.000059,-73.758316,40.601581,3.54000000,2495.00000000,114.00000000,0.75113122
gramercy,0.972478,-73.090977,40.313944,3.54000000,2495.00000000,114.00000000,0.75113122
tottenville,0.000007,-74.241978,40.505214,3.32500000,4604.00000000,56.00000000,0.39407854
charleston,0.008515,-74.289474,40.515795,3.32500000,4604.00000000,56.00000000,0.39407854
washington-heights,9.915568,-75.351568,38.032497,3.32500000,4604.00000000,56.00000000,0.39407854
