Id,Population Group,Id,Id2,Geography,Total:,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
1,Total population,1580000US3651000005000100,3651000005000100,"Census Tract 1, Bronx County, New York city, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Total population,1580000US3651000005000200,3651000005000200,"Census Tract 2, Bronx County, New York city, New York",1123,206,44,47,39,53,92,66,46,29,87,178,121,38,52,25,0
1,Total population,1580000US3651000005000400,3651000005000400,"Census Tract 4, Bronx County, New York city, New York",1047,125,90,35,84,23,111,63,75,42,90,116,130,29,25,9,0
1,Total population,1580000US3651000005001100,3651000005001100,"Census Tract 11, Bronx County, New York city, New York",126,6,13,36,4,17,0,9,0,7,20,8,0,0,0,6,0
1,Total population,1580000US3651000005001600,3651000005001600,"Census Tract 16, Bronx County, New York city, New York",1837,320,306,148,154,151,96,115,70,92,95,154,115,8,6,7,0
1,Total population,1580000US3651000005001700,3651000005001700,"Census Tract 17, Bronx County, New York city, New York",257,71,31,7,47,30,16,7,9,0,17,22,0,0,0,0,0
1,Total population,1580000US3651000005002000,3651000005002000,"Census Tract 20, Bronx County, New York city, New York",3109,1230,345,165,237,230,141,155,88,52,186,77,96,84,8,0,15
1,Total population,1580000US3651000005002300,3651000005002300,"Census Tract 23, Bronx County, New York city, New York",1624,658,181,144,149,82,65,37,100,42,14,51,37,13,27,0,24
1,Total population,1580000US3651000005002500,3651000005002500,"Census Tract 25, Bronx County, New York city, New York",1729,757,171,212,101,129,98,16,48,15,58,47,47,0,23,0,7
1,Total population,1580000US3651000005002701,3651000005002701,"Census Tract 27.01, Bronx County, New York city, New York",989,442,71,75,115,55,29,45,59,20,18,14,25,8,0,0,13
1,Total population,1580000US3651000005002702,3651000005002702,"Census Tract 27.02, Bronx County, New York city, New York",1295,519,182,100,98,86,105,40,30,38,59,17,14,0,7,0,0
1,Total population,1580000US3651000005002800,3651000005002800,"Census Tract 28, Bronx County, New York city, New York",2360,273,184,151,172,221,213,215,164,63,284,197,112,28,61,18,4
1,Total population,1580000US3651000005003100,3651000005003100,"Census Tract 31, Bronx County, New York city, New York",488,65,42,54,42,73,71,48,5,25,12,38,10,3,0,0,0
1,Total population,1580000US3651000005003300,3651000005003300,"Census Tract 33, Bronx County, New York city, New York",941,434,122,90,56,39,11,61,6,15,36,19,26,4,14,8,0
1,Total population,1580000US3651000005003500,3651000005003500,"Census Tract 35, Bronx County, New York city, New York",1116,312,140,150,79,64,69,47,46,29,102,23,25,9,12,9,0
1,Total population,1580000US3651000005003600,3651000005003600,"Census Tract 36, Bronx County, New York city, New York",2659,722,189,103,197,129,191,115,51,160,224,234,209,97,8,30,0
1,Total population,1580000US3651000005003700,3651000005003700,"Census Tract 37, Bronx County, New York city, New York",161,57,0,11,25,8,0,0,20,15,12,13,0,0,0,0,0
1,Total population,1580000US3651000005003800,3651000005003800,"Census Tract 38, Bronx County, New York city, New York",382,67,5,24,25,23,23,7,16,17,33,57,48,30,7,0,0
1,Total population,1580000US3651000005003900,3651000005003900,"Census Tract 39, Bronx County, New York city, New York",2088,757,247,176,103,144,79,81,79,58,93,125,98,23,11,5,9
1,Total population,1580000US3651000005004001,3651000005004001,"Census Tract 40.01, Bronx County, New York city, New York",576,84,54,38,44,74,24,35,38,31,65,41,20,17,11,0,0
1,Total population,1580000US3651000005004100,3651000005004100,"Census Tract 41, Bronx County, New York city, New York",1810,807,193,93,130,87,138,48,41,65,87,58,28,20,5,0,10
1,Total population,1580000US3651000005004300,3651000005004300,"Census Tract 43, Bronx County, New York city, New York",1485,475,157,125,95,121,71,41,54,39,109,48,84,55,0,11,0
1,Total population,1580000US3651000005004400,3651000005004400,"Census Tract 44, Bronx County, New York city, New York",1612,697,199,109,100,141,43,56,50,25,67,25,14,31,29,12,14
1,Total population,1580000US3651000005004600,3651000005004600,"Census Tract 46, Bronx County, New York city, New York",618,163,110,53,51,45,46,33,4,8,58,0,38,9,0,0,0
1,Total population,1580000US3651000005004700,3651000005004700,"Census Tract 47, Bronx County, New York city, New York",1771,799,230,156,142,90,118,54,20,45,48,27,19,18,0,0,5
1,Total population,1580000US3651000005004800,3651000005004800,"Census Tract 48, Bronx County, New York city, New York",1147,337,174,84,95,84,69,79,64,42,31,16,59,7,0,0,6
1,Total population,1580000US3651000005005000,3651000005005000,"Census Tract 50, Bronx County, New York city, New York",3399,1087,356,232,263,216,239,178,148,104,217,90,196,37,22,7,7
1,Total population,1580000US3651000005005200,3651000005005200,"Census Tract 52, Bronx County, New York city, New York",813,325,97,44,69,42,59,52,17,23,17,41,10,0,0,9,8
1,Total population,1580000US3651000005005302,3651000005005302,"Census Tract 53.02, Bronx County, New York city, New York",1395,523,161,164,162,52,51,74,26,17,24,72,26,12,7,0,24
1,Total population,1580000US3651000005005400,3651000005005400,"Census Tract 54, Bronx County, New York city, New York",1769,472,186,167,175,103,144,114,98,49,73,38,122,14,0,14,0
1,Total population,1580000US3651000005005600,3651000005005600,"Census Tract 56, Bronx County, New York city, New York",1086,429,137,60,83,102,38,35,24,45,45,49,21,6,0,0,12
1,Total population,1580000US3651000005005700,3651000005005700,"Census Tract 57, Bronx County, New York city, New York",125,6,4,10,22,5,17,5,0,12,12,16,0,12,0,4,0
1,Total population,1580000US3651000005005901,3651000005005901,"Census Tract 59.01, Bronx County, New York city, New York",1718,519,173,130,72,105,112,73,91,118,104,95,92,14,8,7,5
1,Total population,1580000US3651000005005902,3651000005005902,"Census Tract 59.02, Bronx County, New York city, New York",1117,207,116,27,91,61,113,75,52,24,129,78,91,22,0,20,11
1,Total population,1580000US3651000005006000,3651000005006000,"Census Tract 60, Bronx County, New York city, New York",310,30,41,26,22,33,43,12,17,16,38,22,3,7,0,0,0
1,Total population,1580000US3651000005006100,3651000005006100,"Census Tract 61, Bronx County, New York city, New York",2088,258,183,155,223,192,261,123,149,108,108,226,70,17,0,6,9
1,Total population,1580000US3651000005006200,3651000005006200,"Census Tract 62, Bronx County, New York city, New York",2310,903,211,165,252,83,172,39,94,47,63,118,93,23,7,0,40
1,Total population,1580000US3651000005006400,3651000005006400,"Census Tract 64, Bronx County, New York city, New York",1257,222,43,78,66,102,108,142,96,39,123,97,93,39,9,0,0
1,Total population,1580000US3651000005006500,3651000005006500,"Census Tract 65, Bronx County, New York city, New York",1656,495,219,171,142,184,71,73,36,15,42,102,37,20,35,0,14
1,Total population,1580000US3651000005006600,3651000005006600,"Census Tract 66, Bronx County, New York city, New York",1370,239,156,153,74,149,172,38,73,56,72,101,41,31,15,0,0
1,Total population,1580000US3651000005006700,3651000005006700,"Census Tract 67, Bronx County, New York city, New York",2120,686,294,152,200,175,139,68,96,41,93,45,84,5,0,11,31
1,Total population,1580000US3651000005006800,3651000005006800,"Census Tract 68, Bronx County, New York city, New York",1139,292,86,54,112,92,62,10,47,40,106,100,54,35,17,12,20
1,Total population,1580000US3651000005006900,3651000005006900,"Census Tract 69, Bronx County, New York city, New York",1331,630,250,88,88,79,15,51,32,35,0,22,20,6,3,0,12
1,Total population,1580000US3651000005007000,3651000005007000,"Census Tract 70, Bronx County, New York city, New York",1281,220,75,124,102,68,75,80,67,123,88,113,83,39,16,0,8
1,Total population,1580000US3651000005007100,3651000005007100,"Census Tract 71, Bronx County, New York city, New York",560,118,53,37,20,6,36,43,20,24,75,53,56,4,15,0,0
1,Total population,1580000US3651000005007200,3651000005007200,"Census Tract 72, Bronx County, New York city, New York",1753,297,207,134,65,119,142,120,106,111,141,127,112,32,21,4,15
1,Total population,1580000US3651000005007300,3651000005007300,"Census Tract 73, Bronx County, New York city, New York",1084,314,108,86,126,87,113,62,15,34,63,37,13,7,0,9,10
1,Total population,1580000US3651000005007400,3651000005007400,"Census Tract 74, Bronx County, New York city, New York",1297,202,59,48,61,96,94,66,138,77,185,111,29,75,39,7,10
1,Total population,1580000US3651000005007500,3651000005007500,"Census Tract 75, Bronx County, New York city, New York",1566,432,144,181,99,117,76,69,90,55,41,107,73,66,0,8,8
1,Total population,1580000US3651000005007700,3651000005007700,"Census Tract 77, Bronx County, New York city, New York",439,123,41,32,72,26,7,58,14,3,39,11,8,5,0,0,0
1,Total population,1580000US3651000005007800,3651000005007800,"Census Tract 78, Bronx County, New York city, New York",2075,308,168,85,181,139,179,116,111,30,179,244,176,91,31,13,24
1,Total population,1580000US3651000005007900,3651000005007900,"Census Tract 79, Bronx County, New York city, New York",2215,833,287,237,187,195,124,97,48,9,86,41,16,24,7,16,8
1,Total population,1580000US3651000005008300,3651000005008300,"Census Tract 83, Bronx County, New York city, New York",2002,507,170,141,155,127,177,215,105,63,136,85,60,24,25,0,12
1,Total population,1580000US3651000005008400,3651000005008400,"Census Tract 84, Bronx County, New York city, New York",575,75,45,13,44,29,39,43,48,23,29,72,44,31,30,5,5
1,Total population,1580000US3651000005008500,3651000005008500,"Census Tract 85, Bronx County, New York city, New York",1512,519,184,99,132,86,88,38,54,31,91,85,44,0,43,8,10
1,Total population,1580000US3651000005008600,3651000005008600,"Census Tract 86, Bronx County, New York city, New York",1439,579,162,110,113,91,91,49,76,19,66,49,18,11,0,0,5
