POPGROUP.id,Id
POPGROUP.display-label,Population Group
GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
VD01,Total:
VD02,Income in 1999 below poverty level:
VD03,Income in 1999 below poverty level: - Male:
VD04,Income in 1999 below poverty level: - Male: - 15 years
VD05,Income in 1999 below poverty level: - Male: - 16 and 17 years
VD06,Income in 1999 below poverty level: - Male: - 18 to 24 years
VD07,Income in 1999 below poverty level: - Male: - 25 to 34 years
VD08,Income in 1999 below poverty level: - Male: - 35 to 44 years
VD09,Income in 1999 below poverty level: - Male: - 45 to 54 years
VD10,Income in 1999 below poverty level: - Male: - 55 to 64 years
VD11,Income in 1999 below poverty level: - Male: - 65 to 74 years
VD12,Income in 1999 below poverty level: - Male: - 75 years and over
VD13,Income in 1999 below poverty level: - Female:
VD14,Income in 1999 below poverty level: - Female: - 15 years
VD15,Income in 1999 below poverty level: - Female: - 16 and 17 years
VD16,Income in 1999 below poverty level: - Female: - 18 to 24 years
VD17,Income in 1999 below poverty level: - Female: - 25 to 34 years
VD18,Income in 1999 below poverty level: - Female: - 35 to 44 years
VD19,Income in 1999 below poverty level: - Female: - 45 to 54 years
VD20,Income in 1999 below poverty level: - Female: - 55 to 64 years
VD21,Income in 1999 below poverty level: - Female: - 65 to 74 years
VD22,Income in 1999 below poverty level: - Female: - 75 years and over
VD23,Income in 1999 at or above poverty level:
VD24,Income in 1999 at or above poverty level: - Male:
VD25,Income in 1999 at or above poverty level: - Male: - 15 years
VD26,Income in 1999 at or above poverty level: - Male: - 16 and 17 years
VD27,Income in 1999 at or above poverty level: - Male: - 18 to 24 years
VD28,Income in 1999 at or above poverty level: - Male: - 25 to 34 years
VD29,Income in 1999 at or above poverty level: - Male: - 35 to 44 years
VD30,Income in 1999 at or above poverty level: - Male: - 45 to 54 years
VD31,Income in 1999 at or above poverty level: - Male: - 55 to 64 years
VD32,Income in 1999 at or above poverty level: - Male: - 65 to 74 years
VD33,Income in 1999 at or above poverty level: - Male: - 75 years and over
VD34,Income in 1999 at or above poverty level: - Female:
VD35,Income in 1999 at or above poverty level: - Female: - 15 years
VD36,Income in 1999 at or above poverty level: - Female: - 16 and 17 years
VD37,Income in 1999 at or above poverty level: - Female: - 18 to 24 years
VD38,Income in 1999 at or above poverty level: - Female: - 25 to 34 years
VD39,Income in 1999 at or above poverty level: - Female: - 35 to 44 years
VD40,Income in 1999 at or above poverty level: - Female: - 45 to 54 years
VD41,Income in 1999 at or above poverty level: - Female: - 55 to 64 years
VD42,Income in 1999 at or above poverty level: - Female: - 65 to 74 years
VD43,Income in 1999 at or above poverty level: - Female: - 75 years and over
