Id,Population Group,Id,Id2,Geography,Total:,Income in 1999 below poverty level:,Income in 1999 below poverty level: - Male:,Income in 1999 below poverty level: - Male: - 15 years,Income in 1999 below poverty level: - Male: - 16 and 17 years,Income in 1999 below poverty level: - Male: - 18 to 24 years,Income in 1999 below poverty level: - Male: - 25 to 34 years,Income in 1999 below poverty level: - Male: - 35 to 44 years,Income in 1999 below poverty level: - Male: - 45 to 54 years,Income in 1999 below poverty level: - Male: - 55 to 64 years,Income in 1999 below poverty level: - Male: - 65 to 74 years,Income in 1999 below poverty level: - Male: - 75 years and over,Income in 1999 below poverty level: - Female:,Income in 1999 below poverty level: - Female: - 15 years,Income in 1999 below poverty level: - Female: - 16 and 17 years,Income in 1999 below poverty level: - Female: - 18 to 24 years,Income in 1999 below poverty level: - Female: - 25 to 34 years,Income in 1999 below poverty level: - Female: - 35 to 44 years,Income in 1999 below poverty level: - Female: - 45 to 54 years,Income in 1999 below poverty level: - Female: - 55 to 64 years,Income in 1999 below poverty level: - Female: - 65 to 74 years,Income in 1999 below poverty level: - Female: - 75 years and over,Income in 1999 at or above poverty level:,Income in 1999 at or above poverty level: - Male:,Income in 1999 at or above poverty level: - Male: - 15 years,Income in 1999 at or above poverty level: - Male: - 16 and 17 years,Income in 1999 at or above poverty level: - Male: - 18 to 24 years,Income in 1999 at or above poverty level: - Male: - 25 to 34 years,Income in 1999 at or above poverty level: - Male: - 35 to 44 years,Income in 1999 at or above poverty level: - Male: - 45 to 54 years,Income in 1999 at or above poverty level: - Male: - 55 to 64 years,Income in 1999 at or above poverty level: - Male: - 65 to 74 years,Income in 1999 at or above poverty level: - Male: - 75 years and over,Income in 1999 at or above poverty level: - Female:,Income in 1999 at or above poverty level: - Female: - 15 years,Income in 1999 at or above poverty level: - Female: - 16 and 17 years,Income in 1999 at or above poverty level: - Female: - 18 to 24 years,Income in 1999 at or above poverty level: - Female: - 25 to 34 years,Income in 1999 at or above poverty level: - Female: - 35 to 44 years,Income in 1999 at or above poverty level: - Female: - 45 to 54 years,Income in 1999 at or above poverty level: - Female: - 55 to 64 years,Income in 1999 at or above poverty level: - Female: - 65 to 74 years,Income in 1999 at or above poverty level: - Female: - 75 years and over
1,Total population,1580000US3651000005000100,3651000005000100,"Census Tract 1, Bronx County, New York city, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Total population,1580000US3651000005000200,3651000005000200,"Census Tract 2, Bronx County, New York city, New York",337,131,50,0,7,0,0,15,8,20,0,0,81,0,0,10,0,8,23,18,4,18,206,153,0,0,0,67,0,22,22,21,21,53,0,0,0,0,9,5,12,14,13
1,Total population,1580000US3651000005000400,3651000005000400,"Census Tract 4, Bronx County, New York city, New York",378,94,40,0,0,0,9,21,0,10,0,0,54,0,0,0,22,0,12,0,0,20,284,113,0,0,12,41,25,13,15,7,0,171,0,0,0,36,25,53,27,30,0
1,Total population,1580000US3651000005001100,3651000005001100,"Census Tract 11, Bronx County, New York city, New York",227,160,48,0,0,0,9,27,7,5,0,0,112,0,0,0,19,71,16,6,0,0,67,33,0,0,0,7,19,0,0,7,0,34,0,0,0,0,7,17,10,0,0
1,Total population,1580000US3651000005001600,3651000005001600,"Census Tract 16, Bronx County, New York city, New York",714,306,93,0,0,0,55,0,0,38,0,0,213,0,56,21,18,8,8,27,34,41,408,185,0,0,18,8,59,18,38,34,10,223,0,0,20,20,47,30,42,12,52
1,Total population,1580000US3651000005001700,3651000005001700,"Census Tract 17, Bronx County, New York city, New York",251,145,60,0,0,13,17,9,21,0,0,0,85,0,15,0,9,37,0,9,7,8,106,87,0,0,0,0,65,22,0,0,0,19,0,0,0,0,0,0,10,0,9
1,Total population,1580000US3651000005002000,3651000005002000,"Census Tract 20, Bronx County, New York city, New York",1063,582,271,0,0,18,34,70,55,59,14,21,311,0,0,32,34,32,20,57,105,31,481,205,0,0,13,40,32,55,0,37,28,276,0,0,13,0,61,38,58,97,9
1,Total population,1580000US3651000005002300,3651000005002300,"Census Tract 23, Bronx County, New York city, New York",860,492,207,0,0,0,22,25,84,41,14,21,285,0,0,12,0,35,55,91,22,70,368,204,0,0,0,17,69,15,41,40,22,164,0,0,0,30,0,7,45,54,28
1,Total population,1580000US3651000005002500,3651000005002500,"Census Tract 25, Bronx County, New York city, New York",700,420,137,0,0,0,0,33,26,63,7,8,283,0,0,0,44,41,15,113,42,28,280,163,0,0,8,55,30,0,51,10,9,117,0,0,10,31,0,27,26,8,15
1,Total population,1580000US3651000005002701,3651000005002701,"Census Tract 27.01, Bronx County, New York city, New York",362,197,88,0,14,16,7,14,11,13,0,13,109,0,0,9,6,18,22,32,5,17,165,56,0,0,0,34,0,5,17,0,0,109,0,0,17,11,17,11,14,17,22
1,Total population,1580000US3651000005002702,3651000005002702,"Census Tract 27.02, Bronx County, New York city, New York",761,453,156,0,0,24,36,48,44,4,0,0,297,0,6,48,57,65,28,68,25,0,308,188,0,0,18,70,27,24,49,0,0,120,0,0,4,38,22,12,33,0,11
1,Total population,1580000US3651000005002800,3651000005002800,"Census Tract 28, Bronx County, New York city, New York",866,191,19,0,0,0,10,9,0,0,0,0,172,0,0,10,30,37,9,30,24,32,675,238,0,0,0,24,53,49,73,39,0,437,0,0,23,47,46,118,101,59,43
1,Total population,1580000US3651000005003100,3651000005003100,"Census Tract 31, Bronx County, New York city, New York",150,64,23,0,0,7,6,0,5,5,0,0,41,0,0,6,5,9,0,7,7,7,86,42,0,0,0,9,8,15,10,0,0,44,0,0,0,0,10,24,0,0,10
1,Total population,1580000US3651000005003300,3651000005003300,"Census Tract 33, Bronx County, New York city, New York",348,172,66,0,0,5,13,9,25,14,0,0,106,0,0,9,5,0,23,15,25,29,176,90,0,0,10,26,12,29,5,8,0,86,0,0,8,25,9,16,12,16,0
1,Total population,1580000US3651000005003500,3651000005003500,"Census Tract 35, Bronx County, New York city, New York",462,255,86,0,6,9,15,27,18,7,4,0,169,0,0,19,24,14,25,19,21,47,207,100,0,0,0,37,29,25,0,9,0,107,0,0,13,9,10,0,32,6,37
1,Total population,1580000US3651000005003600,3651000005003600,"Census Tract 36, Bronx County, New York city, New York",842,320,56,0,0,0,0,37,0,19,0,0,264,0,0,0,0,24,78,73,44,45,522,197,0,0,3,0,98,48,28,20,0,325,0,0,0,15,92,66,64,67,21
1,Total population,1580000US3651000005003700,3651000005003700,"Census Tract 37, Bronx County, New York city, New York",40,40,29,0,0,9,5,5,10,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Total population,1580000US3651000005003800,3651000005003800,"Census Tract 38, Bronx County, New York city, New York",225,115,45,0,0,0,9,23,0,7,0,6,70,0,0,25,8,8,29,0,0,0,110,80,0,0,29,10,7,27,0,7,0,30,0,0,8,0,0,0,14,8,0
1,Total population,1580000US3651000005003900,3651000005003900,"Census Tract 39, Bronx County, New York city, New York",1251,671,321,0,11,15,32,98,50,68,26,21,350,0,0,21,30,22,95,49,57,76,580,402,0,0,20,75,135,66,52,42,12,178,0,0,0,46,0,41,7,33,51
1,Total population,1580000US3651000005004001,3651000005004001,"Census Tract 40.01, Bronx County, New York city, New York",232,67,14,0,0,0,0,7,0,0,0,7,53,0,10,0,0,18,9,16,0,0,165,71,0,0,0,8,14,37,0,6,6,94,0,0,0,9,17,15,7,0,46
1,Total population,1580000US3651000005004100,3651000005004100,"Census Tract 41, Bronx County, New York city, New York",906,523,281,0,0,0,55,42,41,71,43,29,242,0,0,0,5,12,52,89,48,36,383,264,0,0,24,29,81,75,30,9,16,119,0,0,4,34,0,23,29,29,0
1,Total population,1580000US3651000005004300,3651000005004300,"Census Tract 43, Bronx County, New York city, New York",472,224,83,0,0,6,11,20,18,28,0,0,141,0,0,9,7,23,12,31,25,34,248,131,0,0,16,25,33,16,19,22,0,117,0,0,9,8,8,7,33,34,18
1,Total population,1580000US3651000005004400,3651000005004400,"Census Tract 44, Bronx County, New York city, New York",525,286,115,0,0,4,20,60,23,8,0,0,171,0,0,0,8,33,44,47,20,19,239,103,8,0,0,37,19,9,11,4,15,136,0,0,27,16,8,18,25,29,13
1,Total population,1580000US3651000005004600,3651000005004600,"Census Tract 46, Bronx County, New York city, New York",272,127,54,0,0,0,26,0,0,10,11,7,73,0,0,0,0,0,19,22,16,16,145,33,0,0,0,9,15,0,0,0,9,112,0,0,0,9,43,10,9,32,9
1,Total population,1580000US3651000005004700,3651000005004700,"Census Tract 47, Bronx County, New York city, New York",661,436,181,0,0,37,17,45,45,15,11,11,255,4,0,0,26,27,30,67,55,46,225,89,0,0,0,7,30,27,7,18,0,136,0,0,0,7,0,16,43,53,17
1,Total population,1580000US3651000005004800,3651000005004800,"Census Tract 48, Bronx County, New York city, New York",499,213,105,0,0,12,9,41,14,18,11,0,108,0,0,4,21,40,5,12,21,5,286,208,0,0,23,49,83,19,19,15,0,78,0,0,14,20,4,6,8,26,0
1,Total population,1580000US3651000005005000,3651000005005000,"Census Tract 50, Bronx County, New York city, New York",1567,735,378,0,15,58,150,81,41,21,6,6,357,0,0,57,87,53,24,41,72,23,832,487,0,0,42,120,102,78,60,76,9,345,0,0,26,95,64,32,36,24,68
1,Total population,1580000US3651000005005200,3651000005005200,"Census Tract 52, Bronx County, New York city, New York",330,195,79,0,10,11,9,8,8,12,13,8,116,11,0,0,6,8,30,39,7,15,135,50,0,0,0,17,9,16,8,0,0,85,0,0,6,17,28,0,13,21,0
1,Total population,1580000US3651000005005302,3651000005005302,"Census Tract 53.02, Bronx County, New York city, New York",544,267,87,0,7,0,15,28,16,0,13,8,180,0,0,8,10,37,39,37,28,21,277,163,0,0,14,20,67,33,0,15,14,114,0,0,0,9,20,20,17,41,7
