POPGROUP.id,Id
POPGROUP.display-label,Population Group
GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_VC02,Number; SCHOOL ENROLLMENT AND TYPE OF SCHOOL - Population 3 years and over enrolled in school
HC02_VC02,Percent; SCHOOL ENROLLMENT AND TYPE OF SCHOOL - Population 3 years and over enrolled in school
HC03_VC02,Percent of age group enrolled in school; SCHOOL ENROLLMENT AND TYPE OF SCHOOL - Population 3 years and over enrolled in school
HC01_VC03,"Number; SCHOOL ENROLLMENT AND TYPE OF SCHOOL - Population 3 years and over enrolled in school - Nursery school, preschool"
HC02_VC03,"Percent; SCHOOL ENROLLMENT AND TYPE OF SCHOOL - Population 3 years and over enrolled in school - Nursery school, preschool"
HC03_VC03,"Percent of age group enrolled in school; SCHOOL ENROLLMENT AND TYPE OF SCHOOL - Population 3 years and over enrolled in school - Nursery school, preschool"
HC01_VC04,"Number; SCHOOL ENROLLMENT AND TYPE OF SCHOOL - Population 3 years and over enrolled in school - Nursery school, preschool - Public"
HC02_VC04,"Percent; SCHOOL ENROLLMENT AND TYPE OF SCHOOL - Population 3 years and over enrolled in school - Nursery school, preschool - Public"
HC03_VC04,"Percent of age group enrolled in school; SCHOOL ENROLLMENT AND TYPE OF SCHOOL - Population 3 years and over enrolled in school - Nursery school, preschool - Public"
HC01_VC05,Number; SCHOOL ENROLLMENT AND TYPE OF SCHOOL - Population 3 years and over enrolled in school - Kindergarten
HC02_VC05,Percent; SCHOOL ENROLLMENT AND TYPE OF SCHOOL - Population 3 years and over enrolled in school - Kindergarten
HC03_VC05,Percent of age group enrolled in school; SCHOOL ENROLLMENT AND TYPE OF SCHOOL - Population 3 years and over enrolled in school - Kindergarten
HC01_VC06,Number; SCHOOL ENROLLMENT AND TYPE OF SCHOOL - Population 3 years and over enrolled in school - Kindergarten - Public
HC02_VC06,Percent; SCHOOL ENROLLMENT AND TYPE OF SCHOOL - Population 3 years and over enrolled in school - Kindergarten - Public
HC03_VC06,Percent of age group enrolled in school; SCHOOL ENROLLMENT AND TYPE OF SCHOOL - Population 3 years and over enrolled in school - Kindergarten - Public
HC01_VC07,Number; SCHOOL ENROLLMENT AND TYPE OF SCHOOL - Population 3 years and over enrolled in school - Elementary: grade 1 to 4
HC02_VC07,Percent; SCHOOL ENROLLMENT AND TYPE OF SCHOOL - Population 3 years and over enrolled in school - Elementary: grade 1 to 4
HC03_VC07,Percent of age group enrolled in school; SCHOOL ENROLLMENT AND TYPE OF SCHOOL - Population 3 years and over enrolled in school - Elementary: grade 1 to 4
HC01_VC08,Number; SCHOOL ENROLLMENT AND TYPE OF SCHOOL - Population 3 years and over enrolled in school - Elementary: grade 1 to 4 - Public
HC02_VC08,Percent; SCHOOL ENROLLMENT AND TYPE OF SCHOOL - Population 3 years and over enrolled in school - Elementary: grade 1 to 4 - Public
HC03_VC08,Percent of age group enrolled in school; SCHOOL ENROLLMENT AND TYPE OF SCHOOL - Population 3 years and over enrolled in school - Elementary: grade 1 to 4 - Public
HC01_VC09,Number; SCHOOL ENROLLMENT AND TYPE OF SCHOOL - Population 3 years and over enrolled in school - Elementary: grade 5 to 8
HC02_VC09,Percent; SCHOOL ENROLLMENT AND TYPE OF SCHOOL - Population 3 years and over enrolled in school - Elementary: grade 5 to 8
HC03_VC09,Percent of age group enrolled in school; SCHOOL ENROLLMENT AND TYPE OF SCHOOL - Population 3 years and over enrolled in school - Elementary: grade 5 to 8
